Time;Open;High;Low;Close;ATR;VolumeTick;RSI 14;EMA 50;EMA 200;VWAP Mensile;Delta CloseVWAP
03/11/2021;4662,1;4682,8;4661,3;4681,6;34,56;24354;75,51;4483,34;4223,94;4646,97;34,63
04/11/2021;4679,9;4719,2;4675,1;4698,8;34,57;32584;76,82;4491,79;4228,66;4659,78;39,02
07/11/2021;4688,2;4714,1;4687,5;4707;34,09;27538;77,45;4500,23;4233,42;4667,93;39,07
08/11/2021;4695,1;4708;4670,8;4683,3;34,76;40812;71,47;4507,41;4237,9;4671,07;12,23
09/11/2021;4678,6;4686,6;4631,3;4637,8;36,38;48622;61,63;4512,52;4241,88;4664,57;-26,77
10/11/2021;4654,7;4667,2;4649,5;4653,8;35,91;27066;63,53;4518,06;4245,98;4663,51;-9,71
11/11/2021;4651,8;4684,1;4649,8;4677,1;35,86;24306;66,16;4524,3;4250,27;4664,61;12,49
14/11/2021;4685;4702,8;4672,6;4682,6;35,75;24508;66,77;4530,51;4254,57;4665,97;16,63
15/11/2021;4682,8;4714,6;4676,3;4708,9;36,16;23956;69,59;4537,5;4259,09;4668,92;39,98
16/11/2021;4700;4705,8;4684,4;4694;34,8;21938;66,16;4543,64;4263,42;4670,4;23,6
17/11/2021;4696,7;4708,3;4671,8;4703,5;34,48;27002;67,27;4549,91;4267,8;4672,65;30,85
18/11/2021;4723,2;4727,2;4688,2;4702,3;34,95;48310;66,97;4555,89;4272,12;4675,86;26,44
21/11/2021;4710,8;4743,6;4700,5;4725;35,98;38296;69,7;4562,52;4276,63;4679,75;45,25
22/11/2021;4676,2;4698,3;4653;4683,8;38,04;73890;60;4567,27;4280,68;4680,28;3,52
23/11/2021;4693,4;4698,9;4659,5;4694,3;39,28;66150;61,47;4572,26;4284,79;4681,77;12,53
24/11/2021;4719,9;4720,2;4704,2;4709;37,98;12986;63,5;4577,62;4289,01;4682,32;26,68
25/11/2021;4642,6;4646,5;4581,2;4582,5;45,21;113832;42,7;4577,81;4291,93;4667,2;-84,7
28/11/2021;4643,6;4673,4;4623,3;4665,2;49,04;72986;53,44;4581,24;4295,65;4667,02;-1,82
29/11/2021;4611,2;4647,1;4564,9;4579,9;52,26;115928;44,23;4581,18;4298,48;4656,27;-76,37
30/11/2021;4609,7;4653,4;4575;4581,4;55,76;83604;44,41;4581,19;4301,29;4650,16;-68,76
01/12/2021;4551,2;4592,1;4507,5;4582,1;59,35;116100;44,5;4581,23;4304,09;4643,23;-61,13
02/12/2021;4580;4608,1;4499,1;4502,1;64,98;114242;37,06;4578,13;4306,06;4630,37;-128,27
05/12/2021;4562,9;4613;4533,1;4594,2;70,16;90886;47,87;4578,76;4308,92;4627,92;-33,72
06/12/2021;4620,9;4694;4619,6;4687;75,54;46636;56,06;4583;4312,69;4629,9;57,1
